Table ID,Table Title,Table Universe,Year
B05002,PLACE OF BIRTH BY NATIVITY AND CITIZENSHIP STATUS,Universe: Total population,"1,5"
C05002,PLACE OF BIRTH BY NATIVITY,Universe: Total population,1
B05003,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS,Universe: Total population,"1,5"
C05003,SEX BY AGE BY NATIVITY,Universe: Total population,1
B05003A,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE),Universe: People who are White alone,"1,5"
B05003B,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (BLACK OR AFRICAN AMERICAN ALONE),Universe: People who are Black or African American alone,"1,5"
B05003C,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (AMERICAN INDIAN AND ALASKA NATIVE ALONE),Universe: People who are American Indian and Alaska Native alone,"1,5"
B05003D,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (ASIAN ALONE),Universe: People who are Asian alone,"1,5"
B05003E,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE),Universe: People who are Native Hawaiian and Other Pacific Islander alone,"1,5"
B05003F,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (SOME OTHER RACE ALONE),Universe: People who are Some Other Race alone,"1,5"
B05003G,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (TWO OR MORE RACES),Universe: People who are Two or More Races,"1,5"
B05003H,"SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (WHITE ALONE, NOT HISPANIC OR LATINO)","Universe: White alone, not Hispanic or Latino population","1,5"
B05003I,SEX BY AGE BY NATIVITY AND CITIZENSHIP STATUS (HISPANIC OR LATINO),Universe: People who are Hispanic or Latino,"1,5"
B05004,MEDIAN AGE BY NATIVITY AND CITIZENSHIP STATUS BY SEX,Universe: Total population,"1,5"
B05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Universe: Population born outside the United States,"1,5"
C05005,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN THE UNITED STATES,Universe: Population born outside the United States,1
B05005PR,PERIOD OF ENTRY BY NATIVITY AND CITIZENSHIP STATUS IN PUERTO RICO,Universe: Population born outside Puerto Rico,"1,5"
B05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES,Universe: Foreign-born population excluding population born at sea,"1,5"
C05006,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION,Universe: Foreign-born population excluding population born at sea,1
B05006PR,PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN PUERTO RICO,Universe: Foreign-born population in Puerto Rico excluding population born at sea,"1,5"
B05007,PLACE OF BIRTH BY YEAR OF ENTRY BY CITIZENSHIP STATUS FOR THE FOREIGN-BORN POPULATION,Universe: Foreign-born population,"1,5"
B05008,SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION,Universe: Foreign-born population,"1,5"
B05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NUMBER AND NATIVITY OF PARENTS,Universe: Own children under 18 years in families and subfamilies,"1,5"
C05009,AGE AND NATIVITY OF OWN CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Universe: Own children under 18 years in families and subfamilies,1
B05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY LIVING ARRANGEMENTS AND NATIVITY OF PARENTS,Universe: Own children under 18 years in families and subfamilies for whom poverty status is determined,"1,5"
C05010,RATIO OF INCOME TO POVERTY LEVEL IN THE PAST 12 MONTHS BY NATIVITY OF CHILDREN UNDER 18 YEARS IN FAMILIES AND SUBFAMILIES BY NATIVITY OF PARENTS,Universe: Own children under 18 years in families and subfamilies for whom poverty status is determined,1
B05011,PERIOD OF NATURALIZATION,Universe: Foreign-born population,"1,5"
B05012,NATIVITY IN THE UNITED STATES,Universe: Total population in the United States,"1,5"
B05012PR,NATIVITY IN PUERTO RICO,Universe: Total population in Puerto Rico,"1,5"
B05013,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Universe: Foreign-born population,"1,5"
B05014,SEX BY AGE FOR THE FOREIGN-BORN POPULATION,Universe: Foreign-born population,"1,5"
B05015,PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION ,Universe: Foreign-born population excluding population born at sea,"1,5"
B06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Universe: Total population in the United States,"1,5"
C06001,PLACE OF BIRTH BY AGE IN THE UNITED STATES,Universe: Total population in the United States,1
B06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,Universe: Total population in Puerto Rico,"1,5"
C06001PR,PLACE OF BIRTH BY AGE IN PUERTO RICO,Universe: Total population in Puerto Rico,1
B06002,MEDIAN AGE BY PLACE OF BIRTH IN THE UNITED STATES,Universe: Total population in the United States,"1,5"
B06002PR,MEDIAN AGE BY PLACE OF BIRTH IN PUERTO RICO,Universe: Total population in Puerto Rico,"1,5"
B06003,PLACE OF BIRTH BY SEX IN THE UNITED STATES,Universe: Total population in the United States,"1,5"
B06003PR,PLACE OF BIRTH BY SEX IN PUERTO RICO,Universe: Total population in Puerto Rico,"1,5"
B06004A,PLACE OF BIRTH (WHITE ALONE) IN THE UNITED STATES,Universe: White alone population in the United States,"1,5"
B06004B,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN THE UNITED STATES,Universe: Black or African American alone population in the United States,"1,5"
B06004C,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN THE UNITED STATES,Universe: American Indian and Alaska Native alone population in the United States,"1,5"
B06004D,PLACE OF BIRTH (ASIAN ALONE) IN THE UNITED STATES,Universe: Asian alone population in the United States,"1,5"
B06004E,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN THE UNITED STATES,Universe: Native Hawaiian and Other Pacific Islander alone population in the United States,"1,5"
B06004F,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN THE UNITED STATES,Universe: Some other race alone population in the United States,"1,5"
B06004G,PLACE OF BIRTH (TWO OR MORE RACES) IN THE UNITED STATES,Universe: Two or more races population in the United States,"1,5"
B06004H,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN THE UNITED STATES","Universe: White alone, not Hispanic or Latino population in the United States","1,5"
B06004I,PLACE OF BIRTH (HISPANIC OR LATINO) IN THE UNITED STATES,Universe: Hispanic or Latino population in the United States,"1,5"
B06004APR,PLACE OF BIRTH (WHITE ALONE) IN PUERTO RICO,Universe: White alone population in Puerto Rico,"1,5"
B06004BPR,PLACE OF BIRTH (BLACK OR AFRICAN AMERICAN ALONE) IN PUERTO RICO,Universe: Black or African American alone population in Puerto Rico,"1,5"
B06004CPR,PLACE OF BIRTH (AMERICAN INDIAN AND ALASKA NATIVE ALONE) IN PUERTO RICO,Universe: American Indian and Alaska Native alone population in Puerto Rico,"1,5"
B06004DPR,PLACE OF BIRTH (ASIAN ALONE) IN PUERTO RICO,Universe: Asian alone population in Puerto Rico,"1,5"
B06004EPR,PLACE OF BIRTH (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) IN PUERTO RICO,Universe: Native Hawaiian and Other Pacific Islander alone population in Puerto Rico,"1,5"
B06004FPR,PLACE OF BIRTH (SOME OTHER RACE ALONE) IN PUERTO RICO,Universe: Some other race population in Puerto Rico,"1,5"
B06004GPR,PLACE OF BIRTH (TWO OR MORE RACES) IN PUERTO RICO,Universe: Two or more races population in Puerto Rico,"1,5"
B06004HPR,"PLACE OF BIRTH (WHITE ALONE, NOT HISPANIC OR LATINO) IN PUERTO RICO","Universe: White alone, not Hispanic or Latino population in Puerto Rico","1,5"
B06004IPR,PLACE OF BIRTH (HISPANIC OR LATINO) IN PUERTO RICO,Universe: Hispanic or Latino population in Puerto Rico,"1,5"
B06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Universe: Population 5 years and over in the United States,"1,5"
C06007,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN THE UNITED STATES,Universe: Population 5 years and over in the United States,1
B06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Universe: Population 5 years and over in Puerto Rico,"1,5"
C06007PR,PLACE OF BIRTH BY LANGUAGE SPOKEN AT HOME AND ABILITY TO SPEAK ENGLISH IN PUERTO RICO,Universe: Population 5 years and over in Puerto Rico,1
B06008,PLACE OF BIRTH BY MARITAL STATUS IN THE UNITED STATES,Universe: Population 15 years and over in the United States,"1,5"
B06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,"1,5"
C06008PR,PLACE OF BIRTH BY MARITAL STATUS IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,1
B06009,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN THE UNITED STATES,Universe: Population 25 years and over in the United States,"1,5"
B06009PR,PLACE OF BIRTH BY EDUCATIONAL ATTAINMENT IN PUERTO RICO,Universe: Population 25 years and over in Puerto Rico,"1,5"
B06010,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN THE UNITED STATES,Universe: Population 15 years and over in the United States,"1,5"
B06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,"1,5"
C06010PR,PLACE OF BIRTH BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,1
B06011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN THE UNITED STATES,Universe: Population 15 years and over in the United States with income,"1,5"
B06011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY PLACE OF BIRTH IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico with income,"1,5"
B06012,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN THE UNITED STATES,Universe: Population in the United States for whom poverty status is determined,"1,5"
B06012PR,PLACE OF BIRTH BY POVERTY STATUS IN THE PAST 12 MONTHS IN PUERTO RICO,Universe: Population in Puerto Rico for whom poverty status is determined,"1,5"
B07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"1,5"
C07001,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,1
B07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,"1,5"
C07001PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY AGE FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,1
B07002,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"1,5"
B07002PR,MEDIAN AGE BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,"1,5"
B07003,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"1,5"
B07003PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,"1,5"
B07004A,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: White alone population 1 year and over in the United States,"1,5"
B07004B,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Black or African American alone population 1 year and over in the United States,"1,5"
B07004C,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: American Indian and Alaskan Native alone population 1 year and over in the United States,"1,5"
B07004D,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Asian alone population 1 year and over in the United States,"1,5"
B07004E,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Native Hawaiian and Other Pacific Islander alone population 1 year and over in the United States,"1,5"
B07004F,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Some other race alone population 1 year and over in the United States,"1,5"
B07004G,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Two or more races population 1 year and over in the United States,"1,5"
B07004H,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES","Universe: White alone, not Hispanic or Latino population 1 year and over in the United States","1,5"
B07004I,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Hispanic or Latino population 1 year and over in the United States,"1,5"
B07004APR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: White alone population 1 year and over in Puerto Rico,"1,5"
B07004BPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (BLACK OR AFRICAN AMERICAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Black or African American alone population 1 year and over in Puerto Rico,"1,5"
B07004CPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (AMERICAN INDIAN AND ALASKA NATIVE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: American Indian and Alaskan Native alone population 1 year and over in Puerto Rico,"1,5"
B07004DPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (ASIAN ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Asian alone population 1 year and over in Puerto Rico,"1,5"
B07004EPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (NATIVE HAWAIIAN AND OTHER PACIFIC ISLANDER ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Native Hawaiian and Other Pacific Islander alone population 1 year and over in Puerto Rico,"1,5"
B07004FPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (SOME OTHER RACE ALONE) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Some other race alone population 1 year and over in Puerto Rico,"1,5"
B07004GPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (TWO OR MORE RACES) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Two or more races population 1 year and over in Puerto Rico,"1,5"
B07004HPR,"GEOGRAPHICAL MOBILITY IN THE PAST YEAR (WHITE ALONE, NOT HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO","Universe: White alone, not Hispanic or Latino population 1 year and over in Puerto Rico","1,5"
B07004IPR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR (HISPANIC OR LATINO) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Hispanic or Latino population 1 year and over in Puerto Rico,"1,5"
B07007,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"1,5"
B07007PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY CITIZENSHIP STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico,"1,5"
B07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 15 years and over in the United States,"1,5"
C07008,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 15 years and over in the United States,1
B07008PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,"1,5"
C07008PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY MARITAL STATUS FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,1
B07009,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 25 years and over in the United States,"1,5"
B07009PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY EDUCATIONAL ATTAINMENT FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 25 years and over in Puerto Rico,"1,5"
B07010,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 15 years and over in the United States,"1,5"
B07010PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY INDIVIDUAL INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico,"1,5"
B07011,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 15 years and over in the United States with income,"1,5"
B07011PR,MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) BY GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 15 years and over in Puerto Rico with income,"1,5"
B07012,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in the United States for whom poverty status is determined,"1,5"
B07012PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY POVERTY STATUS IN THE PAST 12 MONTHS FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in Puerto Rico for whom poverty status is determined,"1,5"
B07013,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN THE UNITED STATES,Universe: Population 1 year and over in households in the United States,"1,5"
B07013PR,GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY TENURE FOR CURRENT RESIDENCE IN PUERTO RICO,Universe: Population 1 year and over in households in Puerto Rico,"1,5"
B07101,MOVERS BETWEEN REGIONS IN THE UNITED STATES,Universe: Population 1 year and over in the United States,"1,5"
B07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Universe: Population 1 year and over living in a Metropolitan Statistical Area in the United States,"1,5"
C07201,GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--METROPOLITAN STATISTICAL AREA LEVEL IN THE UNITED STATES,Universe: Population 1 year and over living in a Metropolitan Statistical Area in the United States,1
